node_order,node_id,node_lat,node_lon,dist_from_prev,dist_to_next,cuml_dist
0,start,33.7354442,-84.3980167,0.0,0.02058225733040295,0.0
1,69442384,33.735609,-84.397718,0.02058225733040295,0.03555527724951296,0.02058225733040295
2,69364060,33.735623,-84.398337,0.03555527724951296,0.08341413437659081,0.05613753457991591
3,4402671243,33.7368311,-84.3983315,0.08341413437659081,0.004342978825506779,0.13955166895650672
4,4402667582,33.736894,-84.3983312,0.004342978825506779,0.003119505163587128,0.1438946477820135
5,4402671330,33.7368925,-84.3982769,0.003119505163587128,0.06563128533922011,0.14701415294560063
6,4402671268,33.7368605,-84.3971345,0.06563128533922011,0.004119171764135842,0.21264543828482074
7,4402671406,33.7368585,-84.3970628,0.004119171764135842,0.004141901705960042,0.21676461004895659
8,4402671383,33.7368566,-84.3969907,0.004141901705960042,0.019284950860117285,0.22090651175491663
9,5424036423,33.7368477,-84.396655,0.019284950860117285,0.04389511747781432,0.2401914626150339
10,4402671240,33.7368275,-84.3958909,0.04389511747781432,0.003130764049759598,0.2840865800928482
11,4402671287,33.7368261,-84.3958364,0.003130764049759598,0.0033775516426468215,0.2872173441426078
12,4402671319,33.7368247,-84.3957776,0.0033775516426468215,0.025916874227232673,0.2905948957852546
13,5416437906,33.7368143,-84.3953264,0.025916874227232673,0.01313062653346808,0.31651177001248726
14,5416437899,33.7368091,-84.3950978,0.01313062653346808,0.023492863229346777,0.32964239654595534
15,4402671250,33.7367997,-84.3946888,0.023492863229346777,0.00503169832050649,0.35313525977530213
16,4402671305,33.7367977,-84.3946012,0.00503169832050649,0.004422554008825184,0.3581669580958086
17,4402671417,33.7367961,-84.3945242,0.004422554008825184,0.007799739787047583,0.3625895121046338
18,5416437869,33.7367933,-84.3943884,0.007799739787047583,0.004594927238152728,0.37038925189168137
19,4402671259,33.7367916,-84.3943084,0.004594927238152728,0.011736208156188267,0.3749841791298341
20,5416437864,33.7367916,-84.394104,0.011736208156188267,0.01801772074069155,0.38672038728602237
21,5416437863,33.7367916,-84.3937902,0.01801772074069155,0.013504677877794032,0.40473810802671395
22,4402671361,33.7367916,-84.393555,0.013504677877794032,0.004289113255464943,0.418242785904508
23,4402671253,33.7367916,-84.3934803,0.004289113255464943,0.004742794678935096,0.4225318991599729
24,4402671321,33.7367912,-84.3933977,0.004742794678935096,0.005489254881323575,0.427274693838908
25,5416437876,33.7367907,-84.3933021,0.005489254881323575,0.019568314864648856,0.43276394872023155
26,4402671407,33.7367891,-84.3929613,0.019568314864648856,0.019430514599569404,0.45233226358488043
27,4402667583,33.7367875,-84.3926229,0.019430514599569404,0.08859886469559014,0.47176277818444984
28,69348285,33.7368504,-84.3910817,0.08859886469559014,0.005701886212555103,0.56036164288004
29,69348290,33.7368542,-84.3909825,0.005701886212555103,0.006952001743207092,0.566063529092595
30,69348292,33.7368663,-84.3908623,0.006952001743207092,0.009673481437518493,0.5730155308358021
31,4402671261,33.7367262,-84.3908635,0.009673481437518493,0.07417038674161239,0.5826890122733206
32,69356471,33.735652,-84.390873,0.07417038674161239,0.020161941620663277,0.656859399014933
33,69356472,33.73536,-84.390876,0.020161941620663277,0.07748544664365863,0.6770213406355963
34,end,33.735652,-84.389573,0.07748544664365863,0.0,0.7545067872792549
